RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
308,Acrocephalus melanopogon,crnoprugasti trstenjak,Moustached Warbler,A,R,B,M,W,CR,D,LC,II,ll,I
309,Acrocephalus paludicola,trstenjak ševar,Aquatic Warbler,A,Ac, -,M*, -, -,,VU,II,"l, ll",I
310,Acrocephalus schoenobaenus,trstenjak rogožar,Sedge Warbler,A,R,B,M, -,LC,-,LC,II,ll,
311,Acrocephalus agricola,poljski trstenjak,Paddyfield Warbler,A,Rare, -, -, -, -,,LC,II,ll,
312,Acrocephalus scirpaceus,trstenjak cvrkutić,Eurasian Reed-warbler,A,R,B,M, -,LC,-,LC,II,ll,
313,Acrocephalus dumetorum,trstenjak žbunjar,Blyth's Reed-warbler,A,Ac, -, -, -, -,,LC,ll,ll,
314,Acrocephalus palustris,trstenjak mlakar,Marsh Warbler,A,R,B,M, -,LC,-,LC,II,ll,
315,Acrocephalus arundinaceus,veliki trstenjak,Great Reed-warbler,A,R,B,M, -,LC,-,LC,II,ll,
316,Hippolais caligata,voljić žbunjar,Booted Warbler,A,Rare, -, -, -, -,,LC,III,II,
317,Hippolais pallida,sivi voljić,Eastern Olivaceous Warbler,A,R,B, -, -,LC,-,LC,II,ll,
318,Hippolais olivetorum,voljić maslinar,Olive-tree Warbler,A,R,B, -, -,NT*,-,LC,II,ll,l
319,Hippolais polyglotta,kratkokrili voljić,Melodious Warbler,A,R,B, -, -,LC,-,LC,II,ll,
320,Hippolais icterina,žuti voljić,Icterine Warbler,A,R,B,M, -,NT*,-,LC,II,ll,
321,Phylloscopus trochilus,brezov zviždak,Willow Warbler,A,R,B,M, -,NT**,-,LC,II,ll,
322,Phylloscopus collybita,zviždak,Common Chiffchaff,A,R,B,M,W,LC,-,LC,II,ll,
323,Phylloscopus bonelli,gorski zviždak,Bonelli's Warbler,A,R,B, -, -,EN,D,LC,II,ll,
324,Phylloscopus sibilatrix,šumski zviždak,Wood Warbler,A,R,B,M, -,LC,-,LC,II,ll,
325,Phylloscopus proregulus,zlatoglavi zviždak,Lemon-rumped Warbler,B,, -, -, -, -,,LC,,,
326,Phylloscopus inornatus,azijski zviždak,Inornate Warbler,A,Rare, -, -, -, -,,LC,II,ll,
327,Sylvia atricapilla,crnokapa grmuša,Blackcap,A,R,B,M,W,LC,-,LC,II,ll,
328,Sylvia borin,siva grmuša,Garden Warbler,A,R,B,M, -,LC,-,LC,II,ll,
329,Sylvia nisoria,pjegava grmuša,Barred Warbler,A,R,B,M, -,LC,-,LC,II,ll,I
330,Sylvia curruca,grmuša čevrljinka,Lesser Whitethroat,A,R,B,M, -,LC,-,LC,II,ll,
331,Sylvia hortensis,istočna velika grmuša,Orphean Warbler,A,R,B, -, -,LC,-,LC,II,ll,
332,Sylvia communis,grmuša pjenica,Common Whitethroat,A,R,B,M, -,LC,-,LC,II,ll,
333,Sylvia undata,crvenooka grmuša,Dartford Warbler,B,, -, -, -, -,,NT,II,II,I
334,Sylvia cantillans,bjelobrka grmuša,Subalpine Warbler,A,R,B, -, -,LC,-,LC,II,ll,
335,Sylvia melanocephala,crnoglava grmuša,Sardinian Warbler,A,R,B, -, -,LC,-,LC,II,ll,
336,Panurus biarmicus,brkata sjenica,Bearded Parrotbill,A,R,B,M,W,EN,D,LC,II,,
337,Parus lugubris,mrka sjenica,Sombre Tit,A,R,B, -, -,LC,-,LC,II,,
338,Parus palustris,crnoglava sjenica,Marsh Tit,A,R,B, -, -,LC,-,LC,II,,
339,Parus montanus,planinska sjenica,Willow Tit,A,R,B, -, -,LC,-,LC,II,,
340,Parus ater,jelova sjenica,Coal Tit,A,R,B,M*,W*,LC,-,LC,II,,
341,Parus cristatus,kukmasta sjenica,Crested Tit,A,R,B, -, -,LC,-,LC,II,,
342,Parus major,velika sjenica,Great Tit,A,R,B,M*,W*,LC,-,LC,II,,
343,Parus caeruleus,plavetna sjenica,Blue Tit,A,R,B, -,W*,LC,-,LC,II,,
344,Parus cyanus,bijela sjenica,Azure Tit,B,, -, -, -, -,,LC,II,,
345,Remiz pendulinus,sjenica mošnjarka,Eurasian Penduline-tit,A,R,B,M,W,LC,-,LC,lll,,
346,Aegithalos caudatus,dugorepa sjenica,Long-tailed Tit,A,R,B, -, -,LC,-,LC,lll,,
347,Sitta europaea,brgljez,Wood Nuthatch,A,R,B, -, -,LC,-,LC,II,,
348,Sitta neumayer,brgljez kamenjar,Western Rock-nuthatch,A,R,B, -, -,LC,-,LC,II,,
349,Tichodroma muraria,zidarčac,Wallcreeper,A,R, -, -,W, -,,LC,II,,
350,Certhia familiaris,kratkokljuni puzavac,Eurasian Treecreeper,A,R,B, -, -,LC,-,LC,II,,
351,Certhia brachydactyla,dugokljuni puzavac,Short-toed Treecreeper,A,R,B, -, -,LC,-,LC,II,,
352,Oriolus oriolus,vuga,Eurasian Golden Oriole,A,R,B,M, -,LC,-,LC,II,,
353,Lanius collurio,rusi svračak,Red-backed Shrike,A,R,B,M, -,LC,-,LC,II,,I
354,Lanius minor,sivi svračak,Lesser Grey Shrike,A,R,B,M, -,LC,-,LC,II,,I
355,Lanius excubitor,veliki svračak,Great Grey Shrike,A,R, -, -,W, -,,LC,II,,
356,Lanius senator,riđoglavi svračak,Woodchat Shrike,A,R,B, -, -,LC,-,LC,II,,
357,Garrulus glandarius,šojka,Eurasian Jay,A,R,B, -,W,LC,-,LC,lll,,II-B 
358,Pica pica,svraka,Black-billed Magpie,A,R,B, -, -,LC,-,LC,lll,,II-B 
359,Nucifraga caryocatactes,kreja,Spotted Nutcracker,A,R,B, -, -,LC,-,LC,II,,
360,Pyrrhocorax graculus,žutokljuna galica,Yellow-billed Chough,A,R,B, -, -,LC,-,LC,II,,
361,Corvus monedula,čavka,Eurasian Jackdaw,A,R,B, -, -,LC,-,LC,,,II-B 
362,Corvus frugilegus,gačac,Rook,A,R,B, -,W*,LC,-,LC,lll,,II-B 
363,Corvus corone,crna vrana,Carrion Crow,A,Ac, -, -, -, -,,LC,,,II-B 
364,Corvus cornix,siva vrana,Hooded Crow,A,R,B, -, -,LC,-,UR,lll,,
365,Corvus corax,gavran,Common Raven,A,R,B, -, -,LC,-,LC,lll,,
366,Sturnus vulgaris,čvorak,Common Starling,A,R,B,M,W,LC,-,LC,lll,,II-B 
367,Sturnus roseus,ružičasti čvorak,Rosy Starling,A,R, -,M, -, -,,LC,II,,
368,Passer domesticus,vrabac,House Sparrow,A,R,B, -, -,LC,-,LC,lll,,
369,Passer hispaniolensis,španjolski vrabac,Spanish Sparrow,A,R,B, -, -,LC,-,LC,lll,,
370,Passer montanus,poljski vrabac,Eurasian Tree Sparrow,A,R,B,M*,W*,LC,-,LC,lll,,
371,Petronia petronia,vrabac kamenjar,Rock Sparrow,B,, -, -, -, -,,LC,II,,
372,Montifringilla nivalis,snježni vrabac,White-winged Snowfinch,A,Rare, -, -, -, -,,LC,II,,
373,Euplectes afer,žutokruna pletilja,Yellow-crowned Bishop,D,Rare, -, -, -, -,,LC,,,
374,Fringilla coelebs,zeba,Eurasian Chaffinch,A,R,B,M,W,LC,-,LC,lll,,
375,Fringilla montifringilla,sjeverna zeba,Brambling,A,R, -,M,W, -,,LC,lll,,
376,Serinus serinus,žutarica,European Serin,A,R,B,M,W,LC,-,LC,II,,
377,Carduelis chloris,zelendur,European Greenfinch,A,R,B,M,W,LC,-,LC,II,,
378,Carduelis spinus,čižak,Eurasian Siskin,A,R,B,M,W,LC,-,LC,II,,
379,Carduelis carduelis,češljugar,European Goldfinch,A,R,B,M,W,LC,-,LC,II,,
380,Carduelis citrinella,planinska žutarica,Alpine Citril Finch,A,Rare, -, -, -, -,,LC,II,,
381,Carduelis flammea,sjeverna juričica,Common Redpoll,A,R, -, -,W, -,,LC,II,,
382,Carduelis hornemanni,polarna juričica,Hoary Redpoll,A,Rare, -, -, -, -,,LC,ll,,
383,Carduelis flavirostris,gorska juričica,Twite,A,Rare, -, -, -, -,,LC,II,,
384,Carduelis cannabina,juričica,Eurasian Linnet,A,R,B,M,W,LC,-,LC,II,,
385,Carpodacus erythrinus,rujnica,Common Rosefinch,A,Rare, -, -, -, -,,LC,II,,
386,Loxia curvirostra,krstokljun,Red Crossbill,A,R,B,M*,W*,LC,-,LC,II,,
387,Loxia pytyopsittacus,veliki krstokljun,Parrot Crossbill,B,, -, -, -, -,,LC,II,,
388,Pyrrhula pyrrhula,zimovka,Eurasian Bullfinch,A,R,B,M*,W,LC,-,LC,lll,,
389,Coccothraustes coccothraustes,batokljun,Hawfinch,A,R,B,M,W,LC,-,LC,II,,
390,Miliaria calandra,velika strnadica,Corn Bunting,A,R,B,M,W*,LC,-,LC,lll,,
391,Emberiza citrinella,žuta strnadica,Yellowhammer,A,R,B,M*,W*,LC,-,LC,II,,
392,Emberiza leucocephalos,bjeloglava strnadica,Pine Bunting,A,Rare, -, -, -, -,,LC,,,
393,Emberiza cia,strnadica cikavica,Rock Bunting,A,R,B, -, -,LC,-,LC,II,,
394,Emberiza hortulana,vrtna strnadica,Ortolan Bunting,A,R,B,M, -,LC,-,LC,lll,,I
395,Emberiza cirlus,crnogrla strnadica,Cirl Bunting,A,R,B, -, -,LC,-,LC,II,,
396,Emberiza rustica,šumska strnadica,Rustic Bunting,A,Rare, -, -, -, -,,LC,,,
397,Emberiza melanocephala,crnoglava strnadica,Black-headed Bunting,A,R,B, -, -,LC,-,LC,II,,
398,Emberiza schoeniclus,močvarna strnadica,Reed Bunting,A,R,B,M,W,LC,-,LC,II,,
399,Calcarius lapponicus,laponska strnadica,Lapland Longspur,A,Rare, -, -, -, -,,LC,II,,
400,Plectrophenax nivalis,bijela strnadica,Snow Bunting,A,Rare, -, -, -, -,,LC,II,,
