RED- BR,Znanstveno ime,Hrvatsko ime,Englesko ime,Nazočnost,Redovitost,Gnjezdarica,Preletnica,Zimovalica,Status ugroženosti gnijezdeće populacije,Kriterij ugroženosti (GN),Status ugroženosti na globalnoj razini,Bern,Bonn ,EU dir
126,Porzana parva,siva štijoka,Little Crake,A,R,B,M,W*,EN, -,LC,II,ll,I
127,Porzana pusilla,mala štijoka,Baillon's Crake,A,R,B,M, -,CR, -,LC,II,ll,I
128,Porphyrio porphyrio,velika sultanka,Purple Swamphen,B,, -, -, -, -, -,LC,II,,I
129,Gallinula chloropus,mlakuša,Common Moorhen,A,R,B,M,W,LC, -,LC,lll,,II-B 
130,Fulica atra,liska,Common Coot,A,R,B,M,W,LC, -,LC,lll,ll*,II-A/III-B
131,Otis tarda,droplja,Great Bustard,A,Ac,BRe,M*,W*,RE, -,VU,II,"l, ll",I
132,Tetrax tetrax,mala droplja,Little Bustard,A,Rare, -,M*,W*, -, -,NT,II,,I
133,Haematopus ostralegus,oštrigar,Eurasian Oystercatcher,A,R, -,M, -, -, -,LC,lll,,II-B 
134,Himantopus himantopus,vlastelica,Black-winged Stilt,A,R,B,M, -,VU*, -,LC,II,ll,I
135,Recurvirostra avosetta,modronoga sabljarka,Pied Avocet,A,R,B,M, -,NA, -,LC,II,ll,I
136,Burhinus oedicnemus,ćukavica,Eurasian Thick-knee,A,R,B,M*, -,EN, -,LC,II,ll,I
137,Cursorius cursor,smeđa trkalica,Cream-coloured Courser,B,, -, -, -, -, -,LC,II,,I
138,Glareola pratincola,riđokrila pješčarka,Collared Pratincole,A,Ir, -,M*, -, -, -,LC,II,ll,I
139,Glareola nordmanni,crnokrila pješčarka,Black-winged Pratincole,A,Rare, -, -, -, -, -,NT,II,ll,
140,Vanellus vanellus,vivak,Northern Lapwing,A,R,B,M,W,LC, -,LC,lll,ll,II-B 
141,Vanellus spinosus,ostrugasti vivak,Spur-winged Lapwing,B,, -, -, -, -, -,LC,,,
142,Vanellus leucurus,bjelorepi vivak,White-tailed Lapwing,A,Rare, -, -, -, -, -,LC,,,
143,Pluvialis apricaria,troprsti zlatar,Eurasian Golden Plover,A,Ir, -,M*,W, -, -,LC,lll,ll,I;II-B;III-B
144,Pluvialis squatarola,zlatar pijukavac,Grey Plover,A,R, -,M,W, -, -,LC,lll,ll,II-B
145,Charadrius hiaticula,kulik blatarić,Common Ringed Plover,A,R, -,M,W*, -, -,LC,II,ll,
146,Charadrius dubius,kulik sljepčić,Little Ringed Plover,A,R,B,M, -,NT, -,LC,II,ll,
147,Charadrius alexandrinus,morski kulik,Kentish Plover,A,R,B,M*, -,CR, -,LC,II,ll,
148,Eudromias morinellus,šareni kulik,Eurasian Dotterel,A,Rare, -, -, -, -, -,LC,II,ll,I
149,Scolopax rusticola,šljuka,Eurasian Woodcock,A,R,B,M,W,CR, -,LC,lll,ll,II-A/III-B
150,Lymnocryptes minimus,mala šljuka,Jack Snipe,A,R, -,M,W, -, -,LC,lll,ll,II-A/III-B
151,Gallinago media,šljuka livadarka,Great Snipe,A,Ir, -,M*, -, -, -,NT,II,ll,I
152,Gallinago gallinago,šljuka kokošica,Common Snipe,A,R,B,M,W,CR, -,LC,lll,ll,II-A/III-B
153,Limosa limosa,crnorepa muljača,Black-tailed Godwit,A,R, -,M, -, -, -,NT,lll,ll,II-B
154,Limosa lapponica,riđa muljača,Bar-tailed Godwit,A,Ir, -,M*,W*, -, -,LC,lll,ll,I/II-B
155,Numenius phaeopus,prugasti pozviždač,Whimbrel,A,R, -,M, -, -,,LC,lll,ll,II-B 
156,Numenius tenuirostris,tankokljuni prozviždač,Slender-billed Curlew,A,Rare, -,M*, -, -,,CR,II,"l, ll",I
157,Numenius arquata,veliki pozviždač,Eurasian Curlew,A,R, -,M,W, -,,NT,lll,ll,II-B 
158,Bartramia longicauda,prerijska prutka,Upland Sandpiper,B,, -, -, -, -,,LC,,,
159,Tringa erythropus,crna prutka,Spotted Redshank,A,R, -,M, -, -,,LC,lll,ll,II-B 
160,Tringa totanus,crvenonoga prutka,Common Redshank,A,R,B,M,W,CR,B1ab(v)+2ab(v); D,LC,lll,ll,II-B 
161,Tringa stagnatilis,dugonoga prutka,Marsh Sandpiper,A,R, -,M, -, -,,LC,II,ll,
162,Tringa nebularia,krivokljuna prutka,Common Greenshank,A,R, -,M,W*, -,,LC,lll,ll,II-B 
163,Tringa melanoleuca,žutonoga prutka,Greater Yellowlegs,A,Rare, -, -, -, -,,LC,,,
164,Tringa ochropus,crnokrila prutka,Green Sandpiper,A,R, -,M,W, -,,LC,II,ll,
165,Tringa glareola,prutka migavica,Wood Sandpiper,A,R, -,M, -, -,,LC,II,ll,I
166,Xenus cinereus,prutka sabljarka,Terek Sandpiper,A,Rare, -, -, -, -,,LC,II,ll,I
